Full Code,Country,Short Name,Full Name,Freq,fred,quandl,bloomberg,Prefix,Postfix
Alabama-Total Nonfarm,Alabama,Total Nonfarm,All Employees: Total Nonfarm,Monthly,ALNA,FRED/ALNA,,AL,NA
Alaska-Total Nonfarm,Alaska,Total Nonfarm,All Employees: Total Nonfarm,Monthly,AKNA,FRED/AKNA,,AK,NA
Arizona-Total Nonfarm,Arizona,Total Nonfarm,All Employees: Total Nonfarm,Monthly,AZNA,FRED/AZNA,,AZ,NA
Arkansas-Total Nonfarm,Arkansas,Total Nonfarm,All Employees: Total Nonfarm,Monthly,ARNA,FRED/ARNA,,AR,NA
California-Total Nonfarm,California,Total Nonfarm,All Employees: Total Nonfarm,Monthly,CANA,FRED/CANA,,CA,NA
Colorado-Total Nonfarm,Colorado,Total Nonfarm,All Employees: Total Nonfarm,Monthly,CONA,FRED/CONA,,CO,NA
Connecticut-Total Nonfarm,Connecticut,Total Nonfarm,All Employees: Total Nonfarm,Monthly,CTNA,FRED/CTNA,,CT,NA
Delaware-Total Nonfarm,Delaware,Total Nonfarm,All Employees: Total Nonfarm,Monthly,DENA,FRED/DENA,,DE,NA
Florida-Total Nonfarm,Florida,Total Nonfarm,All Employees: Total Nonfarm,Monthly,FLNA,FRED/FLNA,,FL,NA
Georgia-Total Nonfarm,Georgia,Total Nonfarm,All Employees: Total Nonfarm,Monthly,GANA,FRED/GANA,,GA,NA
Hawaii-Total Nonfarm,Hawaii,Total Nonfarm,All Employees: Total Nonfarm,Monthly,HINA,FRED/HINA,,HI,NA
Idaho-Total Nonfarm,Idaho,Total Nonfarm,All Employees: Total Nonfarm,Monthly,IDNA,FRED/IDNA,,ID,NA
Illinois-Total Nonfarm,Illinois,Total Nonfarm,All Employees: Total Nonfarm,Monthly,ILNA,FRED/ILNA,,IL,NA
Indiana-Total Nonfarm,Indiana,Total Nonfarm,All Employees: Total Nonfarm,Monthly,INNA,FRED/INNA,,IN,NA
Iowa-Total Nonfarm,Iowa,Total Nonfarm,All Employees: Total Nonfarm,Monthly,IANA,FRED/IANA,,IA,NA
Kansas-Total Nonfarm,Kansas,Total Nonfarm,All Employees: Total Nonfarm,Monthly,KSNA,FRED/KSNA,,KS,NA
Kentucky-Total Nonfarm,Kentucky,Total Nonfarm,All Employees: Total Nonfarm,Monthly,KYNA,FRED/KYNA,,KY,NA
Louisiana-Total Nonfarm,Louisiana,Total Nonfarm,All Employees: Total Nonfarm,Monthly,LANA,FRED/LANA,,LA,NA
Maine-Total Nonfarm,Maine,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MENA,FRED/MENA,,ME,NA
Maryland-Total Nonfarm,Maryland,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MDNA,FRED/MDNA,,MD,NA
Massachusetts-Total Nonfarm,Massachusetts,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MANA,FRED/MANA,,MA,NA
Michigan-Total Nonfarm,Michigan,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MINA,FRED/MINA,,MI,NA
Minnesota-Total Nonfarm,Minnesota,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MNNA,FRED/MNNA,,MN,NA
Mississippi-Total Nonfarm,Mississippi,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MSNA,FRED/MSNA,,MS,NA
Missouri-Total Nonfarm,Missouri,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MONA,FRED/MONA,,MO,NA
Montana-Total Nonfarm,Montana,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MTNA,FRED/MTNA,,MT,NA
Nebraska-Total Nonfarm,Nebraska,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NENA,FRED/NENA,,NE,NA
Nevada-Total Nonfarm,Nevada,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NVNA,FRED/NVNA,,NV,NA
New Hampshire-Total Nonfarm,New Hampshire,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NHNA,FRED/NHNA,,NH,NA
New Jersey-Total Nonfarm,New Jersey,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NJNA,FRED/NJNA,,NJ,NA
New Mexico-Total Nonfarm,New Mexico,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NMNA,FRED/NMNA,,NM,NA
New York-Total Nonfarm,New York,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NYNA,FRED/NYNA,,NY,NA
North Carolina-Total Nonfarm,North Carolina,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NCNA,FRED/NCNA,,NC,NA
North Dakota-Total Nonfarm,North Dakota,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NDNA,FRED/NDNA,,ND,NA
Ohio-Total Nonfarm,Ohio,Total Nonfarm,All Employees: Total Nonfarm,Monthly,OHNA,FRED/OHNA,,OH,NA
Oklahoma-Total Nonfarm,Oklahoma,Total Nonfarm,All Employees: Total Nonfarm,Monthly,OKNA,FRED/OKNA,,OK,NA
Oregon-Total Nonfarm,Oregon,Total Nonfarm,All Employees: Total Nonfarm,Monthly,ORNA,FRED/ORNA,,OR,NA
Pennsylvania-Total Nonfarm,Pennsylvania,Total Nonfarm,All Employees: Total Nonfarm,Monthly,PANA,FRED/PANA,,PA,NA
Rhode Island-Total Nonfarm,Rhode Island,Total Nonfarm,All Employees: Total Nonfarm,Monthly,RINA,FRED/RINA,,RI,NA
South Carolina-Total Nonfarm,South Carolina,Total Nonfarm,All Employees: Total Nonfarm,Monthly,SCNA,FRED/SCNA,,SC,NA
South Dakota-Total Nonfarm,South Dakota,Total Nonfarm,All Employees: Total Nonfarm,Monthly,SDNA,FRED/SDNA,,SD,NA
Tennessee-Total Nonfarm,Tennessee,Total Nonfarm,All Employees: Total Nonfarm,Monthly,TNNA,FRED/TNNA,,TN,NA
Texas-Total Nonfarm,Texas,Total Nonfarm,All Employees: Total Nonfarm,Monthly,TXNA,FRED/TXNA,,TX,NA
Utah-Total Nonfarm,Utah,Total Nonfarm,All Employees: Total Nonfarm,Monthly,UTNA,FRED/UTNA,,UT,NA
Vermont-Total Nonfarm,Vermont,Total Nonfarm,All Employees: Total Nonfarm,Monthly,VTNA,FRED/VTNA,,VT,NA
Virginia-Total Nonfarm,Virginia,Total Nonfarm,All Employees: Total Nonfarm,Monthly,VANA,FRED/VANA,,VA,NA
Washington-Total Nonfarm,Washington,Total Nonfarm,All Employees: Total Nonfarm,Monthly,WANA,FRED/WANA,,WA,NA
West Virginia-Total Nonfarm,West Virginia,Total Nonfarm,All Employees: Total Nonfarm,Monthly,WVNA,FRED/WVNA,,WV,NA
Wisconsin-Total Nonfarm,Wisconsin,Total Nonfarm,All Employees: Total Nonfarm,Monthly,WINA,FRED/WINA,,WI,NA
Wyoming-Total Nonfarm,Wyoming,Total Nonfarm,All Employees: Total Nonfarm,Monthly,WYNA,FRED/WYNA,,WY,NA
Alabama-Real GDP,Alabama,Real GDP,Real Total Gross Domestic Product,Quarterly,ALRGSP,FRED/ALRGSP,,AL,RGSP
Alaska-Real GDP,Alaska,Real GDP,Real Total Gross Domestic Product,Quarterly,AKRGSP,FRED/AKRGSP,,AK,RGSP
Arizona-Real GDP,Arizona,Real GDP,Real Total Gross Domestic Product,Quarterly,AZRGSP,FRED/AZRGSP,,AZ,RGSP
Arkansas-Real GDP,Arkansas,Real GDP,Real Total Gross Domestic Product,Quarterly,ARRGSP,FRED/ARRGSP,,AR,RGSP
California-Real GDP,California,Real GDP,Real Total Gross Domestic Product,Quarterly,CARGSP,FRED/CARGSP,,CA,RGSP
Colorado-Real GDP,Colorado,Real GDP,Real Total Gross Domestic Product,Quarterly,CORGSP,FRED/CORGSP,,CO,RGSP
Connecticut-Real GDP,Connecticut,Real GDP,Real Total Gross Domestic Product,Quarterly,CTRGSP,FRED/CTRGSP,,CT,RGSP
Delaware-Real GDP,Delaware,Real GDP,Real Total Gross Domestic Product,Quarterly,DERGSP,FRED/DERGSP,,DE,RGSP
Florida-Real GDP,Florida,Real GDP,Real Total Gross Domestic Product,Quarterly,FLRGSP,FRED/FLRGSP,,FL,RGSP
Georgia-Real GDP,Georgia,Real GDP,Real Total Gross Domestic Product,Quarterly,GARGSP,FRED/GARGSP,,GA,RGSP
Hawaii-Real GDP,Hawaii,Real GDP,Real Total Gross Domestic Product,Quarterly,HIRGSP,FRED/HIRGSP,,HI,RGSP
Idaho-Real GDP,Idaho,Real GDP,Real Total Gross Domestic Product,Quarterly,IDRGSP,FRED/IDRGSP,,ID,RGSP
Illinois-Real GDP,Illinois,Real GDP,Real Total Gross Domestic Product,Quarterly,ILRGSP,FRED/ILRGSP,,IL,RGSP
Indiana-Real GDP,Indiana,Real GDP,Real Total Gross Domestic Product,Quarterly,INRGSP,FRED/INRGSP,,IN,RGSP
Iowa-Real GDP,Iowa,Real GDP,Real Total Gross Domestic Product,Quarterly,IARGSP,FRED/IARGSP,,IA,RGSP
Kansas-Real GDP,Kansas,Real GDP,Real Total Gross Domestic Product,Quarterly,KSRGSP,FRED/KSRGSP,,KS,RGSP
Kentucky-Real GDP,Kentucky,Real GDP,Real Total Gross Domestic Product,Quarterly,KYRGSP,FRED/KYRGSP,,KY,RGSP
Louisiana-Real GDP,Louisiana,Real GDP,Real Total Gross Domestic Product,Quarterly,LARGSP,FRED/LARGSP,,LA,RGSP
Maine-Real GDP,Maine,Real GDP,Real Total Gross Domestic Product,Quarterly,MERGSP,FRED/MERGSP,,ME,RGSP
Maryland-Real GDP,Maryland,Real GDP,Real Total Gross Domestic Product,Quarterly,MDRGSP,FRED/MDRGSP,,MD,RGSP
Massachusetts-Real GDP,Massachusetts,Real GDP,Real Total Gross Domestic Product,Quarterly,MARGSP,FRED/MARGSP,,MA,RGSP
Michigan-Real GDP,Michigan,Real GDP,Real Total Gross Domestic Product,Quarterly,MIRGSP,FRED/MIRGSP,,MI,RGSP
Minnesota-Real GDP,Minnesota,Real GDP,Real Total Gross Domestic Product,Quarterly,MNRGSP,FRED/MNRGSP,,MN,RGSP
Mississippi-Real GDP,Mississippi,Real GDP,Real Total Gross Domestic Product,Quarterly,MSRGSP,FRED/MSRGSP,,MS,RGSP
Missouri-Real GDP,Missouri,Real GDP,Real Total Gross Domestic Product,Quarterly,MORGSP,FRED/MORGSP,,MO,RGSP
Montana-Real GDP,Montana,Real GDP,Real Total Gross Domestic Product,Quarterly,MTRGSP,FRED/MTRGSP,,MT,RGSP
Nebraska-Real GDP,Nebraska,Real GDP,Real Total Gross Domestic Product,Quarterly,NERGSP,FRED/NERGSP,,NE,RGSP
Nevada-Real GDP,Nevada,Real GDP,Real Total Gross Domestic Product,Quarterly,NVRGSP,FRED/NVRGSP,,NV,RGSP
New Hampshire-Real GDP,New Hampshire,Real GDP,Real Total Gross Domestic Product,Quarterly,NHRGSP,FRED/NHRGSP,,NH,RGSP
New Jersey-Real GDP,New Jersey,Real GDP,Real Total Gross Domestic Product,Quarterly,NJRGSP,FRED/NJRGSP,,NJ,RGSP
New Mexico-Real GDP,New Mexico,Real GDP,Real Total Gross Domestic Product,Quarterly,NMRGSP,FRED/NMRGSP,,NM,RGSP
New York-Real GDP,New York,Real GDP,Real Total Gross Domestic Product,Quarterly,NYRGSP,FRED/NYRGSP,,NY,RGSP
North Carolina-Real GDP,North Carolina,Real GDP,Real Total Gross Domestic Product,Quarterly,NCRGSP,FRED/NCRGSP,,NC,RGSP
North Dakota-Real GDP,North Dakota,Real GDP,Real Total Gross Domestic Product,Quarterly,NDRGSP,FRED/NDRGSP,,ND,RGSP
Ohio-Real GDP,Ohio,Real GDP,Real Total Gross Domestic Product,Quarterly,OHRGSP,FRED/OHRGSP,,OH,RGSP
Oklahoma-Real GDP,Oklahoma,Real GDP,Real Total Gross Domestic Product,Quarterly,OKRGSP,FRED/OKRGSP,,OK,RGSP
Oregon-Real GDP,Oregon,Real GDP,Real Total Gross Domestic Product,Quarterly,ORRGSP,FRED/ORRGSP,,OR,RGSP
Pennsylvania-Real GDP,Pennsylvania,Real GDP,Real Total Gross Domestic Product,Quarterly,PARGSP,FRED/PARGSP,,PA,RGSP
Rhode Island-Real GDP,Rhode Island,Real GDP,Real Total Gross Domestic Product,Quarterly,RIRGSP,FRED/RIRGSP,,RI,RGSP
South Carolina-Real GDP,South Carolina,Real GDP,Real Total Gross Domestic Product,Quarterly,SCRGSP,FRED/SCRGSP,,SC,RGSP
South Dakota-Real GDP,South Dakota,Real GDP,Real Total Gross Domestic Product,Quarterly,SDRGSP,FRED/SDRGSP,,SD,RGSP
Tennessee-Real GDP,Tennessee,Real GDP,Real Total Gross Domestic Product,Quarterly,TNRGSP,FRED/TNRGSP,,TN,RGSP
Texas-Real GDP,Texas,Real GDP,Real Total Gross Domestic Product,Quarterly,TXRGSP,FRED/TXRGSP,,TX,RGSP
Utah-Real GDP,Utah,Real GDP,Real Total Gross Domestic Product,Quarterly,UTRGSP,FRED/UTRGSP,,UT,RGSP
Vermont-Real GDP,Vermont,Real GDP,Real Total Gross Domestic Product,Quarterly,VTRGSP,FRED/VTRGSP,,VT,RGSP
Virginia-Real GDP,Virginia,Real GDP,Real Total Gross Domestic Product,Quarterly,VARGSP,FRED/VARGSP,,VA,RGSP
Washington-Real GDP,Washington,Real GDP,Real Total Gross Domestic Product,Quarterly,WARGSP,FRED/WARGSP,,WA,RGSP
West Virginia-Real GDP,West Virginia,Real GDP,Real Total Gross Domestic Product,Quarterly,WVRGSP,FRED/WVRGSP,,WV,RGSP
Wisconsin-Real GDP,Wisconsin,Real GDP,Real Total Gross Domestic Product,Quarterly,WIRGSP,FRED/WIRGSP,,WI,RGSP
Wyoming-Real GDP,Wyoming,Real GDP,Real Total Gross Domestic Product,Quarterly,WYRGSP,FRED/WYRGSP,,WY,RGSP
Alabama-Economic Activity Index,Alabama,Economic Activity Index,Coincident Economic Activity Index,Monthly,ALPHCI,FRED/ALPHCI,,AL,PHCI
Alaska-Economic Activity Index,Alaska,Economic Activity Index,Coincident Economic Activity Index,Monthly,AKPHCI,FRED/AKPHCI,,AK,PHCI
Arizona-Economic Activity Index,Arizona,Economic Activity Index,Coincident Economic Activity Index,Monthly,AZPHCI,FRED/AZPHCI,,AZ,PHCI
Arkansas-Economic Activity Index,Arkansas,Economic Activity Index,Coincident Economic Activity Index,Monthly,ARPHCI,FRED/ARPHCI,,AR,PHCI
California-Economic Activity Index,California,Economic Activity Index,Coincident Economic Activity Index,Monthly,CAPHCI,FRED/CAPHCI,,CA,PHCI
Colorado-Economic Activity Index,Colorado,Economic Activity Index,Coincident Economic Activity Index,Monthly,COPHCI,FRED/COPHCI,,CO,PHCI
Connecticut-Economic Activity Index,Connecticut,Economic Activity Index,Coincident Economic Activity Index,Monthly,CTPHCI,FRED/CTPHCI,,CT,PHCI
Delaware-Economic Activity Index,Delaware,Economic Activity Index,Coincident Economic Activity Index,Monthly,DEPHCI,FRED/DEPHCI,,DE,PHCI
Florida-Economic Activity Index,Florida,Economic Activity Index,Coincident Economic Activity Index,Monthly,FLPHCI,FRED/FLPHCI,,FL,PHCI
Georgia-Economic Activity Index,Georgia,Economic Activity Index,Coincident Economic Activity Index,Monthly,GAPHCI,FRED/GAPHCI,,GA,PHCI
Hawaii-Economic Activity Index,Hawaii,Economic Activity Index,Coincident Economic Activity Index,Monthly,HIPHCI,FRED/HIPHCI,,HI,PHCI
Idaho-Economic Activity Index,Idaho,Economic Activity Index,Coincident Economic Activity Index,Monthly,IDPHCI,FRED/IDPHCI,,ID,PHCI
Illinois-Economic Activity Index,Illinois,Economic Activity Index,Coincident Economic Activity Index,Monthly,ILPHCI,FRED/ILPHCI,,IL,PHCI
Indiana-Economic Activity Index,Indiana,Economic Activity Index,Coincident Economic Activity Index,Monthly,INPHCI,FRED/INPHCI,,IN,PHCI
Iowa-Economic Activity Index,Iowa,Economic Activity Index,Coincident Economic Activity Index,Monthly,IAPHCI,FRED/IAPHCI,,IA,PHCI
Kansas-Economic Activity Index,Kansas,Economic Activity Index,Coincident Economic Activity Index,Monthly,KSPHCI,FRED/KSPHCI,,KS,PHCI
Kentucky-Economic Activity Index,Kentucky,Economic Activity Index,Coincident Economic Activity Index,Monthly,KYPHCI,FRED/KYPHCI,,KY,PHCI
Louisiana-Economic Activity Index,Louisiana,Economic Activity Index,Coincident Economic Activity Index,Monthly,LAPHCI,FRED/LAPHCI,,LA,PHCI
Maine-Economic Activity Index,Maine,Economic Activity Index,Coincident Economic Activity Index,Monthly,MEPHCI,FRED/MEPHCI,,ME,PHCI
Maryland-Economic Activity Index,Maryland,Economic Activity Index,Coincident Economic Activity Index,Monthly,MDPHCI,FRED/MDPHCI,,MD,PHCI
Massachusetts-Economic Activity Index,Massachusetts,Economic Activity Index,Coincident Economic Activity Index,Monthly,MAPHCI,FRED/MAPHCI,,MA,PHCI
Michigan-Economic Activity Index,Michigan,Economic Activity Index,Coincident Economic Activity Index,Monthly,MIPHCI,FRED/MIPHCI,,MI,PHCI
Minnesota-Economic Activity Index,Minnesota,Economic Activity Index,Coincident Economic Activity Index,Monthly,MNPHCI,FRED/MNPHCI,,MN,PHCI
Mississippi-Economic Activity Index,Mississippi,Economic Activity Index,Coincident Economic Activity Index,Monthly,MSPHCI,FRED/MSPHCI,,MS,PHCI
Missouri-Economic Activity Index,Missouri,Economic Activity Index,Coincident Economic Activity Index,Monthly,MOPHCI,FRED/MOPHCI,,MO,PHCI
Montana-Economic Activity Index,Montana,Economic Activity Index,Coincident Economic Activity Index,Monthly,MTPHCI,FRED/MTPHCI,,MT,PHCI
Nebraska-Economic Activity Index,Nebraska,Economic Activity Index,Coincident Economic Activity Index,Monthly,NEPHCI,FRED/NEPHCI,,NE,PHCI
Nevada-Economic Activity Index,Nevada,Economic Activity Index,Coincident Economic Activity Index,Monthly,NVPHCI,FRED/NVPHCI,,NV,PHCI
New Hampshire-Economic Activity Index,New Hampshire,Economic Activity Index,Coincident Economic Activity Index,Monthly,NHPHCI,FRED/NHPHCI,,NH,PHCI
New Jersey-Economic Activity Index,New Jersey,Economic Activity Index,Coincident Economic Activity Index,Monthly,NJPHCI,FRED/NJPHCI,,NJ,PHCI
New Mexico-Economic Activity Index,New Mexico,Economic Activity Index,Coincident Economic Activity Index,Monthly,NMPHCI,FRED/NMPHCI,,NM,PHCI
New York-Economic Activity Index,New York,Economic Activity Index,Coincident Economic Activity Index,Monthly,NYPHCI,FRED/NYPHCI,,NY,PHCI
North Carolina-Economic Activity Index,North Carolina,Economic Activity Index,Coincident Economic Activity Index,Monthly,NCPHCI,FRED/NCPHCI,,NC,PHCI
North Dakota-Economic Activity Index,North Dakota,Economic Activity Index,Coincident Economic Activity Index,Monthly,NDPHCI,FRED/NDPHCI,,ND,PHCI
Ohio-Economic Activity Index,Ohio,Economic Activity Index,Coincident Economic Activity Index,Monthly,OHPHCI,FRED/OHPHCI,,OH,PHCI
Oklahoma-Economic Activity Index,Oklahoma,Economic Activity Index,Coincident Economic Activity Index,Monthly,OKPHCI,FRED/OKPHCI,,OK,PHCI
Oregon-Economic Activity Index,Oregon,Economic Activity Index,Coincident Economic Activity Index,Monthly,ORPHCI,FRED/ORPHCI,,OR,PHCI
Pennsylvania-Economic Activity Index,Pennsylvania,Economic Activity Index,Coincident Economic Activity Index,Monthly,PAPHCI,FRED/PAPHCI,,PA,PHCI
Rhode Island-Economic Activity Index,Rhode Island,Economic Activity Index,Coincident Economic Activity Index,Monthly,RIPHCI,FRED/RIPHCI,,RI,PHCI
South Carolina-Economic Activity Index,South Carolina,Economic Activity Index,Coincident Economic Activity Index,Monthly,SCPHCI,FRED/SCPHCI,,SC,PHCI
South Dakota-Economic Activity Index,South Dakota,Economic Activity Index,Coincident Economic Activity Index,Monthly,SDPHCI,FRED/SDPHCI,,SD,PHCI
Tennessee-Economic Activity Index,Tennessee,Economic Activity Index,Coincident Economic Activity Index,Monthly,TNPHCI,FRED/TNPHCI,,TN,PHCI
Texas-Economic Activity Index,Texas,Economic Activity Index,Coincident Economic Activity Index,Monthly,TXPHCI,FRED/TXPHCI,,TX,PHCI
Utah-Economic Activity Index,Utah,Economic Activity Index,Coincident Economic Activity Index,Monthly,UTPHCI,FRED/UTPHCI,,UT,PHCI
Vermont-Economic Activity Index,Vermont,Economic Activity Index,Coincident Economic Activity Index,Monthly,VTPHCI,FRED/VTPHCI,,VT,PHCI
Virginia-Economic Activity Index,Virginia,Economic Activity Index,Coincident Economic Activity Index,Monthly,VAPHCI,FRED/VAPHCI,,VA,PHCI
Washington-Economic Activity Index,Washington,Economic Activity Index,Coincident Economic Activity Index,Monthly,WAPHCI,FRED/WAPHCI,,WA,PHCI
West Virginia-Economic Activity Index,West Virginia,Economic Activity Index,Coincident Economic Activity Index,Monthly,WVPHCI,FRED/WVPHCI,,WV,PHCI
Wisconsin-Economic Activity Index,Wisconsin,Economic Activity Index,Coincident Economic Activity Index,Monthly,WIPHCI,FRED/WIPHCI,,WI,PHCI
Wyoming-Economic Activity Index,Wyoming,Economic Activity Index,Coincident Economic Activity Index,Monthly,WYPHCI,FRED/WYPHCI,,WY,PHCI
Alabama-Total Construction Employees,Alabama,Total Construction Employees,All Employees: Construction,Monthly,ALCONS,FRED/ALCONS,,AL,CONS
Alaska-Total Construction Employees,Alaska,Total Construction Employees,All Employees: Construction,Monthly,AKCONS,FRED/AKCONS,,AK,CONS
Arizona-Total Construction Employees,Arizona,Total Construction Employees,All Employees: Construction,Monthly,AZCONS,FRED/AZCONS,,AZ,CONS
Arkansas-Total Construction Employees,Arkansas,Total Construction Employees,All Employees: Construction,Monthly,ARCONS,FRED/ARCONS,,AR,CONS
California-Total Construction Employees,California,Total Construction Employees,All Employees: Construction,Monthly,CACONS,FRED/CACONS,,CA,CONS
Colorado-Total Construction Employees,Colorado,Total Construction Employees,All Employees: Construction,Monthly,COCONS,FRED/COCONS,,CO,CONS
Connecticut-Total Construction Employees,Connecticut,Total Construction Employees,All Employees: Construction,Monthly,CTCONS,FRED/CTCONS,,CT,CONS
Delaware-Total Construction Employees,Delaware,Total Construction Employees,All Employees: Construction,Monthly,DECONS,FRED/DECONS,,DE,CONS
Florida-Total Construction Employees,Florida,Total Construction Employees,All Employees: Construction,Monthly,FLCONS,FRED/FLCONS,,FL,CONS
Georgia-Total Construction Employees,Georgia,Total Construction Employees,All Employees: Construction,Monthly,GACONS,FRED/GACONS,,GA,CONS
Hawaii-Total Construction Employees,Hawaii,Total Construction Employees,All Employees: Construction,Monthly,HICONS,FRED/HICONS,,HI,CONS
Idaho-Total Construction Employees,Idaho,Total Construction Employees,All Employees: Construction,Monthly,IDCONS,FRED/IDCONS,,ID,CONS
Illinois-Total Construction Employees,Illinois,Total Construction Employees,All Employees: Construction,Monthly,ILCONS,FRED/ILCONS,,IL,CONS
Indiana-Total Construction Employees,Indiana,Total Construction Employees,All Employees: Construction,Monthly,INCONS,FRED/INCONS,,IN,CONS
Iowa-Total Construction Employees,Iowa,Total Construction Employees,All Employees: Construction,Monthly,IACONS,FRED/IACONS,,IA,CONS
Kansas-Total Construction Employees,Kansas,Total Construction Employees,All Employees: Construction,Monthly,KSCONS,FRED/KSCONS,,KS,CONS
Kentucky-Total Construction Employees,Kentucky,Total Construction Employees,All Employees: Construction,Monthly,KYCONS,FRED/KYCONS,,KY,CONS
Louisiana-Total Construction Employees,Louisiana,Total Construction Employees,All Employees: Construction,Monthly,LACONS,FRED/LACONS,,LA,CONS
Maine-Total Construction Employees,Maine,Total Construction Employees,All Employees: Construction,Monthly,MECONS,FRED/MECONS,,ME,CONS
Maryland-Total Construction Employees,Maryland,Total Construction Employees,All Employees: Construction,Monthly,MDCONS,FRED/MDCONS,,MD,CONS
